provinsi,kabupaten_kota,tahun,garis_kemiskinan_rupiah_kapita_bulan_2020,garis_kemiskinan_rupiah_kapita_bulan_2021,garis_kemiskinan_rupiah_kapita_bulan_2022,garis_kemiskinan_rupiah_kapita_bulan_2023,garis_kemiskinan_rupiah_kapita_bulan_2024,indeks_pembangunan_gender_2020,indeks_pembangunan_gender_2021,indeks_pembangunan_gender_2022,indeks_pembangunan_gender_2023,indeks_pembangunan_gender_2024,kepadatan_penduduk_jiwa_km2_2020,kepadatan_penduduk_jiwa_km2_2021,kepadatan_penduduk_jiwa_km2_2022,kepadatan_penduduk_jiwa_km2_2023,kepadatan_penduduk_jiwa_km2_2024,pdrb_adhk_milyar_rupiah_2020,pdrb_adhk_milyar_rupiah_2021,pdrb_adhk_milyar_rupiah_2022,pdrb_adhk_milyar_rupiah_2023,pdrb_adhk_milyar_rupiah_2024,pengeluaran_per_kapita_yang_disesuaikan_rupiah_kapita_tahun_2020,pengeluaran_per_kapita_yang_disesuaikan_rupiah_kapita_tahun_2021,pengeluaran_per_kapita_yang_disesuaikan_rupiah_kapita_tahun_2022,pengeluaran_per_kapita_yang_disesuaikan_rupiah_kapita_tahun_2023,pengeluaran_per_kapita_yang_disesuaikan_rupiah_kapita_tahun_2024,persentase_rumah_tangga_yang_memiliki_akses_sanitasi_layak_persen_2020,persentase_rumah_tangga_yang_memiliki_akses_sanitasi_layak_persen_2021,persentase_rumah_tangga_yang_memiliki_akses_sanitasi_layak_persen_2022,persentase_rumah_tangga_yang_memiliki_akses_sanitasi_layak_persen_2023,persentase_rumah_tangga_yang_memiliki_akses_sanitasi_layak_persen_2024,indeks_pembangunan_manusia,rata_rata_lama_sekolah_tahun,umur_harapan_hidup_tahun,pengeluaran_per_kapita_rupiah_kapita_tahun,persentase_penduduk_miskin_persen
Aceh,Simeulue,2020,444754,458896,493303,538693,576505,77.97,78.27,78.87,79.41,79.78,45,46,46,47,48,1602.41,1648.1,1707.71,1806.62,1886.61,7085,7148,7371,7686,8106,66.51,71.56,70.21,72.67,76.51,67.9,9.34,65.26,,18.49
Aceh,Simeulue,2021,444754,458896,493303,538693,576505,77.97,78.27,78.87,79.41,79.78,45,46,46,47,48,1602.41,1648.1,1707.71,1806.62,1886.61,7085,7148,7371,7686,8106,66.51,71.56,70.21,72.67,76.51,68.29,9.48,65.28,,18.98
Aceh,Simeulue,2022,444754,458896,493303,538693,576505,77.97,78.27,78.87,79.41,79.78,45,46,46,47,48,1602.41,1648.1,1707.71,1806.62,1886.61,7085,7148,7371,7686,8106,66.51,71.56,70.21,72.67,76.51,69.17,9.73,65.48,,18.37
Aceh,Simeulue,2023,444754,458896,493303,538693,576505,77.97,78.27,78.87,79.41,79.78,45,46,46,47,48,1602.41,1648.1,1707.71,1806.62,1886.61,7085,7148,7371,7686,8106,66.51,71.56,70.21,72.67,76.51,69.98,9.81,65.61,,17.92
Aceh,Simeulue,2024,444754,458896,493303,538693,576505,77.97,78.27,78.87,79.41,79.78,45,46,46,47,48,1602.41,1648.1,1707.71,1806.62,1886.61,7085,7148,7371,7686,8106,66.51,71.56,70.21,72.67,76.51,70.95,9.89,65.73,,17.69
Aceh,Aceh Singkil,2020,473983,487249,518951,568691,609322,84.48,84.75,84.97,85.23,85.51,58,59,60,61,62,1713.66,1780.42,1844.67,1909.66,1975.75,8707,8776,8994,9374,9862,64.22,69.56,78.92,67.93,63.22,69.92,8.53,67.39,,2026-02-20 00:00:00
Aceh,Aceh Singkil,2021,473983,487249,518951,568691,609322,84.48,84.75,84.97,85.23,85.51,58,59,60,61,62,1713.66,1780.42,1844.67,1909.66,1975.75,8707,8776,8994,9374,9862,64.22,69.56,78.92,67.93,63.22,70.21,8.68,67.43,,20.36
Aceh,Aceh Singkil,2022,473983,487249,518951,568691,609322,84.48,84.75,84.97,85.23,85.51,58,59,60,61,62,1713.66,1780.42,1844.67,1909.66,1975.75,8707,8776,8994,9374,9862,64.22,69.56,78.92,67.93,63.22,70.61,8.69,67.65,,19.18
Aceh,Aceh Singkil,2023,473983,487249,518951,568691,609322,84.48,84.75,84.97,85.23,85.51,58,59,60,61,62,1713.66,1780.42,1844.67,1909.66,1975.75,8707,8776,8994,9374,9862,64.22,69.56,78.92,67.93,63.22,71.14,2026-07-08 00:00:00,67.78,,19.15
Aceh,Aceh Singkil,2024,473983,487249,518951,568691,609322,84.48,84.75,84.97,85.23,85.51,58,59,60,61,62,1713.66,1780.42,1844.67,1909.66,1975.75,8707,8776,8994,9374,9862,64.22,69.56,78.92,67.93,63.22,71.76,8.72,67.89,,2026-06-19 00:00:00
Aceh,Aceh Selatan,2020,405786,418689,446224,494565,528243,91.56,91.73,91.99,92.12,92.24,61,61,62,62,63,4241.41,4345.78,4480.84,4639-02-01 00:00:00,4788.29,8089,8180,8353,8712,9190,68.78,62.55,70.83,74.54,77.96,69.79,8.87,64.35,,12.87
Aceh,Aceh Selatan,2021,405786,418689,446224,494565,528243,91.56,91.73,91.99,92.12,92.24,61,61,62,62,63,4241.41,4345.78,4480.84,4639-02-01 00:00:00,4788.29,8089,8180,8353,8712,9190,68.78,62.55,70.83,74.54,77.96,70.12,8.88,64.4,,13.18
Aceh,Aceh Selatan,2022,405786,418689,446224,494565,528243,91.56,91.73,91.99,92.12,92.24,61,61,62,62,63,4241.41,4345.78,4480.84,4639-02-01 00:00:00,4788.29,8089,8180,8353,8712,9190,68.78,62.55,70.83,74.54,77.96,70.56,8.89,64.64,,12.43
Aceh,Aceh Selatan,2023,405786,418689,446224,494565,528243,91.56,91.73,91.99,92.12,92.24,61,61,62,62,63,4241.41,4345.78,4480.84,4639-02-01 00:00:00,4788.29,8089,8180,8353,8712,9190,68.78,62.55,70.83,74.54,77.96,71.14,8.91,64.81,,2026-01-12 00:00:00
Aceh,Aceh Selatan,2024,405786,418689,446224,494565,528243,91.56,91.73,91.99,92.12,92.24,61,61,62,62,63,4241.41,4345.78,4480.84,4639-02-01 00:00:00,4788.29,8089,8180,8353,8712,9190,68.78,62.55,70.83,74.54,77.96,71.82,8.92,64.97,,2026-02-12 00:00:00
Aceh,Aceh Tenggara,2020,392493,404725,430825,471301,496074,93.0,93.1,93.11,93.28,93.28,52,53,54,55,55,3436.34,3487.16,3584.21,3693.26,3825.99,8020,8030,8222,8566,8876,54.04,62.71,62.88,65.08,64.01,71.21,9.66,68.14,,13.21
Aceh,Aceh Tenggara,2021,392493,404725,430825,471301,496074,93.0,93.1,93.11,93.28,93.28,52,53,54,55,55,3436.34,3487.16,3584.21,3693.26,3825.99,8020,8030,8222,8566,8876,54.04,62.71,62.88,65.08,64.01,71.28,9.67,68.22,,13.41
Aceh,Aceh Tenggara,2022,392493,404725,430825,471301,496074,93.0,93.1,93.11,93.28,93.28,52,53,54,55,55,3436.34,3487.16,3584.21,3693.26,3825.99,8020,8030,8222,8566,8876,54.04,62.71,62.88,65.08,64.01,72.18,9.92,68.48,,12.83
Aceh,Aceh Tenggara,2023,392493,404725,430825,471301,496074,93.0,93.1,93.11,93.28,93.28,52,53,54,55,55,3436.34,3487.16,3584.21,3693.26,3825.99,8020,8030,8222,8566,8876,54.04,62.71,62.88,65.08,64.01,72.93,2026-09-10 00:00:00,68.65,,12.45
Aceh,Aceh Tenggara,2024,392493,404725,430825,471301,496074,93.0,93.1,93.11,93.28,93.28,52,53,54,55,55,3436.34,3487.16,3584.21,3693.26,3825.99,8020,8030,8222,8566,8876,54.04,62.71,62.88,65.08,64.01,73.59,2026-01-10 00:00:00,68.78,,11.99
Aceh,Aceh Timur,2020,440455,460422,491550,530934,557943,85.73,85.93,86.5,86.98,87.26,67,68,69,70,71,8272.64,8433.53,8748.42,8931.14,9344.83,8489,8577,9127,9436,9889,74.65,66.75,69.06,70.01,73.59,69.02,8.15,68.72,,2026-08-14 00:00:00
Aceh,Aceh Timur,2021,440455,460422,491550,530934,557943,85.73,85.93,86.5,86.98,87.26,67,68,69,70,71,8272.64,8433.53,8748.42,8931.14,9344.83,8489,8577,9127,9436,9889,74.65,66.75,69.06,70.01,73.59,69.22,8.21,68.74,,14.45
Aceh,Aceh Timur,2022,440455,460422,491550,530934,557943,85.73,85.93,86.5,86.98,87.26,67,68,69,70,71,8272.64,8433.53,8748.42,8931.14,9344.83,8489,8577,9127,9436,9889,74.65,66.75,69.06,70.01,73.59,70.13,8.32,68.94,,13.91
Aceh,Aceh Timur,2023,440455,460422,491550,530934,557943,85.73,85.93,86.5,86.98,87.26,67,68,69,70,71,8272.64,8433.53,8748.42,8931.14,9344.83,8489,8577,9127,9436,9889,74.65,66.75,69.06,70.01,73.59,70.73,8.47,69.07,,13.39
Aceh,Aceh Timur,2024,440455,460422,491550,530934,557943,85.73,85.93,86.5,86.98,87.26,67,68,69,70,71,8272.64,8433.53,8748.42,8931.14,9344.83,8489,8577,9127,9436,9889,74.65,66.75,69.06,70.01,73.59,71.29,8.48,69.18,,13.26
Aceh,Aceh Tengah,2020,492227,505933,533810,584863,626090,97.35,97.26,97.35,97.5,97.89,50,51,52,52,53,5767.95,5953-12-01 00:00:00,6245-07-01 00:00:00,6602.15,6931.25,10673,10780,10957,11323,11805,81.26,90.58,89.69,92.61,86.34,75.07,9.85,68.85,,2026-08-15 00:00:00
Aceh,Aceh Tengah,2021,492227,505933,533810,584863,626090,97.35,97.26,97.35,97.5,97.89,50,51,52,52,53,5767.95,5953-12-01 00:00:00,6245-07-01 00:00:00,6602.15,6931.25,10673,10780,10957,11323,11805,81.26,90.58,89.69,92.61,86.34,75.2,9.86,68.86,,15.26
Aceh,Aceh Tengah,2022,492227,505933,533810,584863,626090,97.35,97.26,97.35,97.5,97.89,50,51,52,52,53,5767.95,5953-12-01 00:00:00,6245-07-01 00:00:00,6602.15,6931.25,10673,10780,10957,11323,11805,81.26,90.58,89.69,92.61,86.34,75.79,9.87,69.05,,2026-05-14 00:00:00
Aceh,Aceh Tengah,2023,492227,505933,533810,584863,626090,97.35,97.26,97.35,97.5,97.89,50,51,52,52,53,5767.95,5953-12-01 00:00:00,6245-07-01 00:00:00,6602.15,6931.25,10673,10780,10957,11323,11805,81.26,90.58,89.69,92.61,86.34,76.45,9.89,69.18,,14.38
Aceh,Aceh Tengah,2024,492227,505933,533810,584863,626090,97.35,97.26,97.35,97.5,97.89,50,51,52,52,53,5767.95,5953-12-01 00:00:00,6245-07-01 00:00:00,6602.15,6931.25,10673,10780,10957,11323,11805,81.26,90.58,89.69,92.61,86.34,77.27,2026-03-10 00:00:00,69.3,,14.27
Aceh,Aceh Barat,2020,517264,533712,558638,616091,644009,85.76,85.97,85.98,86.36,86.67,68,69,69,70,71,7084.15,7498.18,7747,8060-02-01 00:00:00,8664.92,9516,9593,9775,10085,10548,83.45,89.6,88.39,90.16,91.09,73.11,9.37,67.98,,18.34
Aceh,Aceh Barat,2021,517264,533712,558638,616091,644009,85.76,85.97,85.98,86.36,86.67,68,69,69,70,71,7084.15,7498.18,7747,8060-02-01 00:00:00,8664.92,9516,9593,9775,10085,10548,83.45,89.6,88.39,90.16,91.09,73.41,9.55,67.99,,18.81
Aceh,Aceh Barat,2022,517264,533712,558638,616091,644009,85.76,85.97,85.98,86.36,86.67,68,69,69,70,71,7084.15,7498.18,7747,8060-02-01 00:00:00,8664.92,9516,9593,9775,10085,10548,83.45,89.6,88.39,90.16,91.09,74.09,9.87,68.19,,17.93
