Provinsi,Kabupaten_Kota,Tahun,Garis Kemiskinan (Rupiah/Kapita/Bulan),Indeks Pembangunan Gender,Indeks Pembangunan Manusia,Kepadatan Penduduk (Jiwa/km2),PDRB ADHK (Milyar Rupiah),Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),Persentase Penduduk Miskin (%),Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),Rata-Rata Lama Sekolah (Tahun),Umur Harapan Hidup (Tahun)
Aceh,Aceh Barat,2020,517264.0,85.76,73.11,68.0,7084.15,9516.0,18.34,83.45,9.37,67.98
Aceh,Aceh Barat,2021,533712.0,85.97,73.41,69.0,7498.18,9593.0,18.81,89.6,9.55,67.99
Aceh,Aceh Barat,2022,558638.0,85.98,74.09,69.0,7747.0,9775.0,17.93,88.39,9.87,68.19
Aceh,Aceh Barat,2023,616091.0,86.36,74.62,70.0,,10085.0,17.86,90.16,9.98,68.34
Aceh,Aceh Barat,2024,644009.0,86.67,75.45,71.0,8664.92,10548.0,,91.09,9.99,68.48
Aceh,Aceh Barat Daya,2020,393640.0,89.82,69.12,101.0,2983.76,8316.0,15.93,50.27,8.66,65.0
Aceh,Aceh Barat Daya,2021,406157.0,89.87,69.37,102.0,,8428.0,16.34,65.71,8.67,65.06
Aceh,Aceh Barat Daya,2022,430297.0,89.96,69.79,104.0,3188.66,8651.0,15.44,65.94,8.68,65.3
Aceh,Aceh Barat Daya,2023,474127.0,90.27,70.47,105.0,3313.73,9043.0,15.43,64.69,8.77,65.48
Aceh,Aceh Barat Daya,2024,516947.0,90.44,71.16,107.0,3454.39,9559.0,15.32,69.39,8.78,65.65
Aceh,Aceh Besar,2020,477938.0,94.9,75.0,137.0,10016.81,9641.0,13.84,87.51,10.32,69.78
Aceh,Aceh Besar,2021,489498.0,94.93,75.03,138.0,10261.59,9644.0,,87.4,10.33,69.79
Aceh,Aceh Besar,2022,519320.0,95.22,75.44,140.0,10658.63,9894.0,13.38,83.49,10.35,69.99
Aceh,Aceh Besar,2023,564431.0,95.29,75.98,142.0,11124.02,10309.0,13.38,89.07,10.36,70.14
Aceh,Aceh Besar,2024,586860.0,95.37,76.57,144.0,11675.2,10810.0,13.21,90.3,10.37,70.29
Aceh,Aceh Jaya,2020,428094.0,89.47,71.3,24.0,1982.45,9615.0,12.87,83.27,,67.16
Aceh,Aceh Jaya,2021,441706.0,89.49,71.39,25.0,2033.84,9666.0,13.23,81.6,8.71,67.19
Aceh,Aceh Jaya,2022,468854.0,89.62,71.92,25.0,,10041.0,12.51,78.05,8.72,67.4
Aceh,Aceh Jaya,2023,515244.0,89.8,72.44,26.0,,10461.0,12.42,78.83,8.74,67.55
Aceh,Aceh Jaya,2024,536092.0,90.12,73.4,26.0,2280.16,11007.0,12.25,82.31,,67.69
Aceh,Aceh Selatan,2020,405786.0,91.56,69.79,61.0,4241.41,8089.0,12.87,68.78,8.87,64.35
Aceh,Aceh Selatan,2021,418689.0,91.73,70.12,61.0,4345.78,8180.0,13.18,62.55,8.88,64.4
Aceh,Aceh Selatan,2022,446224.0,91.99,70.56,62.0,4480.84,8353.0,12.43,70.83,8.89,64.64
Aceh,Aceh Selatan,2023,494565.0,92.12,71.14,62.0,,8712.0,,74.54,8.91,64.81
Aceh,Aceh Selatan,2024,528243.0,92.24,71.82,63.0,4788.29,9190.0,,77.96,8.92,64.97
Aceh,Aceh Singkil,2020,473983.0,84.48,69.92,58.0,1713.66,8707.0,,64.22,8.53,67.39
Aceh,Aceh Singkil,2021,487249.0,84.75,70.21,59.0,1780.42,8776.0,20.36,69.56,8.68,67.43
Aceh,Aceh Singkil,2022,518951.0,84.97,70.61,60.0,1844.67,8994.0,19.18,78.92,8.69,67.65
Aceh,Aceh Singkil,2023,568691.0,85.23,71.14,61.0,1909.66,9374.0,19.15,67.93,,67.78
Aceh,Aceh Singkil,2024,609322.0,85.51,71.76,62.0,1975.75,9862.0,,63.22,8.72,67.89
Aceh,Aceh Tamiang,2020,459387.0,81.95,70.87,150.0,6009.37,8327.0,,84.61,,69.58
Aceh,Aceh Tamiang,2021,479801.0,82.0,71.12,152.0,6062.52,8367.0,13.34,87.45,8.91,69.63
Aceh,Aceh Tamiang,2022,508599.0,82.09,72.08,154.0,,8759.0,12.61,82.74,,69.87
Aceh,Aceh Tamiang,2023,555387.0,82.38,73.02,156.0,,9050.0,12.51,78.61,9.24,70.04
Aceh,Aceh Tamiang,2024,583294.0,82.66,74.0,158.0,6674.38,9529.0,12.17,85.93,,70.21
Aceh,Aceh Tengah,2020,492227.0,97.35,75.07,50.0,5767.95,10673.0,,81.26,9.85,68.85
Aceh,Aceh Tengah,2021,505933.0,97.26,75.2,51.0,,10780.0,15.26,90.58,9.86,68.86
Aceh,Aceh Tengah,2022,533810.0,97.35,75.79,52.0,,10957.0,,89.69,9.87,69.05
Aceh,Aceh Tengah,2023,584863.0,97.5,76.45,52.0,6602.15,11323.0,14.38,92.61,9.89,69.18
Aceh,Aceh Tengah,2024,626090.0,97.89,77.27,53.0,6931.25,11805.0,14.27,86.34,,69.3
Aceh,Aceh Tenggara,2020,392493.0,93.0,71.21,52.0,3436.34,8020.0,13.21,54.04,9.66,68.14
Aceh,Aceh Tenggara,2021,404725.0,93.1,71.28,53.0,3487.16,8030.0,13.41,62.71,9.67,68.22
Aceh,Aceh Tenggara,2022,430825.0,93.11,72.18,54.0,3584.21,8222.0,12.83,62.88,9.92,68.48
Aceh,Aceh Tenggara,2023,471301.0,93.28,72.93,55.0,3693.26,8566.0,12.45,65.08,,68.65
Aceh,Aceh Tenggara,2024,496074.0,93.28,73.59,55.0,3825.99,8876.0,11.99,64.01,,68.78
Aceh,Aceh Timur,2020,440455.0,85.73,69.02,67.0,8272.64,8489.0,,74.65,8.15,68.72
Aceh,Aceh Timur,2021,460422.0,85.93,69.22,68.0,8433.53,8577.0,14.45,66.75,8.21,68.74
Aceh,Aceh Timur,2022,491550.0,86.5,70.13,69.0,8748.42,9127.0,13.91,69.06,8.32,68.94
Aceh,Aceh Timur,2023,530934.0,86.98,70.73,70.0,8931.14,9436.0,13.39,70.01,8.47,69.07
Aceh,Aceh Timur,2024,557943.0,87.26,71.29,71.0,9344.83,9889.0,13.26,73.59,8.48,69.18
Aceh,Aceh Utara,2020,375394.0,92.55,70.95,186.0,17017.45,8122.0,,75.83,8.63,68.8
Aceh,Aceh Utara,2021,392412.0,92.75,71.08,188.0,16919.1,8201.0,17.43,79.97,8.64,68.81
Aceh,Aceh Utara,2022,420615.0,92.85,71.85,190.0,17702.78,8620.0,16.86,78.92,8.73,69.01
Aceh,Aceh Utara,2023,454361.0,93.3,72.5,193.0,17810.96,8970.0,16.64,77.95,8.85,69.15
Aceh,Aceh Utara,2024,473719.0,93.36,73.35,195.0,18445.79,9374.0,,80.63,,69.28
Aceh,Bener Meriah,2020,457916.0,96.6,74.54,111.0,3629.87,11098.0,18.89,84.12,9.79,69.22
Aceh,Bener Meriah,2021,476074.0,96.63,74.84,113.0,,11118.0,19.16,86.69,10.0,69.26
Aceh,Bener Meriah,2022,512111.0,96.79,75.46,116.0,3882.43,11421.0,18.39,81.56,,69.48
Aceh,Bener Meriah,2023,551868.0,96.76,76.06,116.0,4085.23,11855.0,18.31,87.04,,69.64
Aceh,Bener Meriah,2024,591421.0,96.73,76.58,118.0,4218.99,12360.0,18.18,88.05,10.13,69.79
Aceh,Bireuen,2020,410203.0,94.91,73.22,230.0,9962.58,8857.0,,84.16,9.28,71.22
Aceh,Bireuen,2021,422685.0,94.93,73.27,231.0,10374.48,8867.0,13.25,81.89,9.29,71.26
Aceh,Bireuen,2022,451163.0,95.01,74.1,233.0,10821.13,9438.0,12.51,85.39,9.31,71.48
Aceh,Bireuen,2023,486667.0,95.08,74.56,238.0,11295.38,9758.0,,84.96,9.32,71.66
Aceh,Bireuen,2024,494866.0,95.09,75.39,241.0,11806.49,10150.0,,88.26,9.59,71.83
Aceh,Gayo Lues,2020,425529.0,88.91,69.06,17.0,1936.87,8791.0,19.32,43.32,,65.47
Aceh,Gayo Lues,2021,438689.0,89.34,69.42,18.0,1981.88,8856.0,19.64,47.63,,65.53
Aceh,Gayo Lues,2022,470221.0,89.48,70.12,18.0,2051.53,9094.0,18.87,46.33,8.41,65.77
Aceh,Gayo Lues,2023,514836.0,89.63,70.82,18.0,,9407.0,18.82,46.05,8.42,65.92
Aceh,Gayo Lues,2024,557201.0,90.08,71.75,19.0,2202.73,9967.0,,49.79,8.44,66.03
Aceh,Kota Banda Aceh,2020,674977.0,95.26,87.06,4122.0,14644.29,16778.0,,99.41,12.65,71.45
Aceh,Kota Banda Aceh,2021,698617.0,95.54,87.36,4156.0,15449.97,16891.0,7.61,99.88,12.83,71.52
Aceh,Kota Banda Aceh,2022,737016.0,95.91,87.92,4199.0,16257.93,17228.0,7.13,96.88,,71.79
Aceh,Kota Banda Aceh,2023,814530.0,96.19,88.32,4269.0,17079.85,17521.0,,99.91,,72.02
Aceh,Kota Banda Aceh,2024,862944.0,96.18,88.85,4319.0,18117.78,18100.0,6.95,99.39,,72.17
Aceh,Kota Langsa,2020,407421.0,95.61,79.3,709.0,3813.19,12057.0,10.44,91.57,,69.42
Aceh,Kota Langsa,2021,435438.0,95.41,79.58,720.0,3962.71,12067.0,10.96,91.81,,69.43
Aceh,Kota Langsa,2022,469348.0,95.56,79.96,734.0,4151.97,12353.0,10.62,91.92,11.14,69.63
Aceh,Kota Langsa,2023,512319.0,95.77,80.5,742.0,4326.98,12678.0,10.53,92.92,11.27,69.78
Aceh,Kota Langsa,2024,546363.0,95.88,80.96,754.0,4518.85,13133.0,10.33,94.3,11.28,69.92
Aceh,Kota Lhokseumawe,2020,401158.0,94.9,78.65,1042.0,6984.71,11367.0,,88.07,10.91,71.6
Aceh,Kota Lhokseumawe,2021,427045.0,95.06,78.92,1049.0,,11390.0,11.16,93.1,,71.64
